name,programmer,camel_score_1,camel_score_2,camel_score_3,camel_score_4,camel_score_5,camel_score_avg,kebab_score_1,kebab_score_2,kebab_score_3,kebab_score_4,kebab_score_5,kebab_score_avg,camel_time_1,camel_time_2,camel_time_3,camel_time_4,camel_time_5,camel_time_avg,kebab_time_1,kebab_time_2,kebab_time_3,kebab_time_4,kebab_time_5,kebab_time_avg,notes,dateTime
1,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,4366,9863,4756,3211,5225,5484.2,8956,4145,3775,4064,2921,4772.2,,"04/12/2020, 09:50:43"
2,TRUE,1,1,1,0,1,0.8,1,1,1,1,1,1,2901.44,3374.79,3538.82,2869.93,4084.62,3353.92,2482.02,2761.67,8112.58,4187.03,2190.8,3946.82,,"02/12/2020, 21:27:28"
3,FALSE,1,1,1,1,1,1,1,1,0,1,1,0.8,1833,1783.95,3666.21,4527.47,4775.27,3317.18,3564.19,3831.7,1741.02,2684.07,2367.28,2837.652,"No, I am not a programmer, but I am used to writing/reading in non-canonical format.","02/12/2020, 21:11:14"
4,FALSE,1,1,1,1,1,1,1,0,1,1,1,0.8,4267.52,5536.83,3741.97,2971.77,4440.7,4191.758,3887.04,5089.33,3100.77,2645.75,2741.51,3492.88,,"02/12/2020, 18:29:44"
5,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,3439.09,3088.37,3537.54,2919.63,2135.44,3024.014,3136.96,2838.79,2080.47,2891.51,2209.73,2631.492,,"03/12/2020, 16:56:01"
7,FALSE,1,1,1,1,1,1,1,0,1,1,1,0.8,8628.81,13187.02,6404.84,4451.4,9602.74,8454.962,9093.78,8957.27,4356.87,5122.9,5464.46,6599.056,,"02/12/2020, 21:45:37"
12,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,2863.16,2073.8,2038.95,4909.7,3878.12,3152.746,4204.25,2836.08,4920.18,2845.06,2232.57,3407.628,,"05/12/2020, 00:14:56"
13,FALSE,1,1,1,1,1,1,0,1,1,1,1,0.8,2037.24,2210.45,1290.52,2393.19,1881.2,1962.52,2662.34,6247.76,1478.13,2549.74,1643.18,2916.23,,"05/12/2020, 02:50:56"
14,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,2205.21,2722.9,3358.55,2938.73,2617.09,2768.496,1838.61,1570.06,1138.75,2615.39,2955.14,2023.59,,"05/12/2020, 02:50:19"
6,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,9176.73,2957.36,4566.99,18538.04,14710.16,9989.856,17584,9541.5,6810.95,6994,10037.3,10193.55,,"02/12/2020, 20:13:37"
8,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,3024.44,2472.85,5113.76,3542.59,5683.29,3967.386,2583.17,3357.83,2057.11,2781.17,3318.71,2819.598,,"02/12/2020, 21:23:39"
9,FALSE,1,1,1,1,1,1,1,0,1,1,1,0.8,4977.4,4165.57,3756.32,3614.78,3701.2,4043.054,2627.07,2693.38,1929.42,2063.17,4276.16,2717.84,,"03/12/2020, 20:59:18"
10,FALSE,0,1,1,1,1,0.8,1,0,0,1,0,0.4,9600.12,6851.14,7134.18,7703.48,5088.02,7275.388,3189.13,7554.94,8074.16,7372.14,7163.02,6670.678,,"03/12/2020, 20:52:27"
11,FALSE,1,1,1,1,1,1,1,0,0,1,1,0.6,4032.39,1345.07,2545.66,2031.07,2259.41,2442.72,1606.42,70.13,1150.5,1518.67,2135.26,1296.196,,"03/12/2020, 09:09:04"